capture_id,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index
CDB_S1#A05#1#42,CDB_S1,A05,1,42,,,32961849,monkeyvervet,5,4,1,0.12,0.50,0.88,0.12,0.00,0.12,,,,0.89,0.50
CDB_S1#A05#1#43,CDB_S1,A05,1,43,,,32961850,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#44,CDB_S1,A05,1,44,,,32961851,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#45,CDB_S1,A05,1,45,,,32961852,ostrich,3,3,1,0.10,0.00,0.40,0.90,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#46,CDB_S1,A05,1,46,,,32961853,buffalo,1,1,1,0.67,0.00,0.33,0.00,0.00,0.00,,,,0.67,0.77
CDB_S1#A05#1#47,CDB_S1,A05,1,47,,,32961854,ostrich,1,1,1,0.20,0.00,0.80,0.20,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#48,CDB_S1,A05,1,48,,,32961855,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#49,CDB_S1,A05,1,49,,,32961856,ostrich,1,1,1,0.10,0.00,0.90,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#50,CDB_S1,A05,1,50,,,32961857,ostrich,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#51,CDB_S1,A05,1,51,,,32961858,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#52,CDB_S1,A05,1,52,,,32961859,springbok,2,2,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#53,CDB_S1,A05,1,53,,,32961860,springbok,5,3,1,0.00,0.00,1.00,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#54,CDB_S1,A05,1,54,,,32961861,ostrich,3,1,1,0.10,0.10,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#55,CDB_S1,A05,1,55,,,32961862,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.86
CDB_S1#A05#1#57,CDB_S1,A05,1,57,,,32961863,ostrich,1,1,1,0.10,0.00,0.50,0.40,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#58,CDB_S1,A05,1,58,,,32961864,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#59,CDB_S1,A05,1,59,,,32961865,jackalblackbacked,1,1,1,0.33,0.00,0.67,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#60,CDB_S1,A05,1,60,,,32961866,ostrich,3,2,2,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#61,CDB_S1,A05,1,61,,,32961867,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#62,CDB_S1,A05,1,62,,,32961868,springbok,6,6,4,0.70,0.00,0.40,0.70,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#63,CDB_S1,A05,1,63,,,32961869,springbok,1,1,1,0.12,0.00,1.00,0.00,0.00,0.12,,,,0.80,0.58
CDB_S1#A05#1#64,CDB_S1,A05,1,64,,,32961870,springbok,3,3,1,0.33,0.00,1.00,0.50,0.00,0.00,,,,0.60,0.86
CDB_S1#A05#1#65,CDB_S1,A05,1,65,,,32961871,ostrich,1,1,1,0.10,0.00,0.30,1.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#66,CDB_S1,A05,1,66,,,32961872,blank,,,,,,,,,,,,,0.80,0.00
CDB_S1#A05#1#67,CDB_S1,A05,1,67,,,32961873,monkeyvervet,1,1,1,0.50,0.12,0.25,0.38,0.00,0.00,,,,0.89,0.50
CDB_S1#A05#1#68,CDB_S1,A05,1,68,,,32961874,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.88,0.54
CDB_S1#A05#1#69,CDB_S1,A05,1,69,,,32961875,springbok,1,1,1,0.00,0.00,0.90,0.50,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#71,CDB_S1,A05,1,71,,,32961876,ostrich,1,1,1,0.56,0.00,0.22,0.33,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#72,CDB_S1,A05,1,72,,,32961877,wildebeestblack,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#73,CDB_S1,A05,1,73,,,32961878,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#74,CDB_S1,A05,1,74,,,32961879,ostrich,1,1,1,0.00,0.10,0.70,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#75,CDB_S1,A05,1,75,,,32961880,ostrich,2,2,1,0.00,0.00,0.90,0.00,0.20,0.00,,,,1.00,0.00
CDB_S1#A05#1#76,CDB_S1,A05,1,76,,,32961881,ostrich,1,1,1,0.30,0.00,0.80,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#77,CDB_S1,A05,1,77,,,32961882,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#78,CDB_S1,A05,1,78,,,32961883,monkeyvervet,4,3,1,0.22,0.44,1.00,0.00,0.22,0.00,,,,0.90,0.47
CDB_S1#A05#1#79,CDB_S1,A05,1,79,,,32961884,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#80,CDB_S1,A05,1,80,,,32961885,ostrich,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#81,CDB_S1,A05,1,81,,,32961886,ostrich,1,1,1,0.00,0.00,0.91,0.09,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#82,CDB_S1,A05,1,82,,,32961887,wildebeestblack,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#83,CDB_S1,A05,1,83,,,32961888,kudu,1,1,1,0.88,0.00,0.12,0.00,0.00,0.00,1,1,1,0.80,0.58
CDB_S1#A05#1#84,CDB_S1,A05,1,84,,,32961889,ostrich,1,1,1,0.40,0.00,0.10,0.70,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#85,CDB_S1,A05,1,85,,,32961890,springbok,2,1,1,0.11,0.00,0.89,0.22,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#86,CDB_S1,A05,1,86,,,32961891,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#87,CDB_S1,A05,1,87,,,32961892,jackalblackbacked,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.60,0.86
CDB_S1#A05#1#88,CDB_S1,A05,1,88,,,32961893,ostrich,1,1,1,0.20,0.00,1.00,0.10,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#89,CDB_S1,A05,1,89,,,32961894,monkeyvervet,4,4,1,0.40,0.40,1.00,0.10,0.30,0.00,,,,1.00,0.00
CDB_S1#A05#1#90,CDB_S1,A05,1,90,,,32961895,ostrich,1,1,1,0.30,0.00,0.90,0.10,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#91,CDB_S1,A05,1,91,,,32961896,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#93,CDB_S1,A05,1,93,,,32961897,ostrich,1,1,1,0.00,0.00,0.90,0.20,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#94,CDB_S1,A05,1,94,,,32961898,ostrich,1,1,1,0.30,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#95,CDB_S1,A05,1,95,,,32961899,springbok,1,1,1,0.00,0.00,0.44,0.89,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#96,CDB_S1,A05,1,96,,,32961900,springbok,4,3,3,0.50,0.00,0.90,0.50,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#97,CDB_S1,A05,1,97,,,32961901,springbok,4,4,1,0.40,0.00,0.60,0.90,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#98,CDB_S1,A05,1,98,,,32961902,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#99,CDB_S1,A05,1,99,,,32961903,monkeyvervet,5,3,1,0.10,0.10,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#100,CDB_S1,A05,1,100,,,32961904,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#101,CDB_S1,A05,1,101,,,32961905,springbok,7,5,3,0.10,0.10,1.00,0.00,0.00,0.20,,,,1.00,0.00
CDB_S1#A05#1#102,CDB_S1,A05,1,102,,,32961906,springbok,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#103,CDB_S1,A05,1,103,,,32961907,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#104,CDB_S1,A05,1,104,,,32961908,springbok,1,1,1,0.10,0.00,1.00,0.40,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#105,CDB_S1,A05,1,105,,,32961909,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#106,CDB_S1,A05,1,106,,,32961910,ostrich,3,3,3,0.10,0.00,0.90,0.00,0.20,0.00,,,,1.00,0.00
CDB_S1#A05#1#107,CDB_S1,A05,1,107,,,32961911,ostrich,2,2,2,0.00,0.00,1.00,0.00,0.20,0.00,,,,1.00,0.00
CDB_S1#A05#1#108,CDB_S1,A05,1,108,,,32961912,jackalblackbacked,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.70,0.88
CDB_S1#A05#1#109,CDB_S1,A05,1,109,,,32961913,genetcommonsmallspotted,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#110,CDB_S1,A05,1,110,,,32961914,springbok,4,4,4,0.10,0.00,1.00,0.30,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#111,CDB_S1,A05,1,111,,,32961915,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#112,CDB_S1,A05,1,112,,,32961916,ostrich,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#113,CDB_S1,A05,1,113,,,32961917,ostrich,1,1,1,0.20,0.00,0.80,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#114,CDB_S1,A05,1,114,,,32961918,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#115,CDB_S1,A05,1,115,,,32961919,springbok,4,4,2,0.00,0.00,1.00,0.00,0.00,0.12,,,,0.80,0.58
CDB_S1#A05#1#116,CDB_S1,A05,1,116,,,32961920,ostrich,1,1,1,0.00,0.00,0.70,0.40,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#117,CDB_S1,A05,1,117,,,32961921,springbok,1,1,1,0.11,0.00,0.89,0.00,0.00,0.22,,,,0.90,0.47
CDB_S1#A05#1#118,CDB_S1,A05,1,118,,,32961922,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#119,CDB_S1,A05,1,119,,,32961923,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#120,CDB_S1,A05,1,120,,,32961924,ostrich,2,2,1,0.00,0.00,1.00,0.00,0.11,0.00,,,,0.90,0.47
CDB_S1#A05#1#121,CDB_S1,A05,1,121,,,32961925,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#122,CDB_S1,A05,1,122,,,32961926,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#123,CDB_S1,A05,1,123,,,32961927,ostrich,1,1,1,0.40,0.00,0.30,0.60,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#124,CDB_S1,A05,1,124,,,32961928,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#125,CDB_S1,A05,1,125,,,32961929,ostrich,1,1,1,0.20,0.00,0.80,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#126,CDB_S1,A05,1,126,,,32961930,ostrich,2,2,1,0.50,0.00,0.70,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#127,CDB_S1,A05,1,127,,,32961931,ostrich,3,3,1,0.60,0.00,0.90,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#128,CDB_S1,A05,1,128,,,32961932,ostrich,2,2,1,0.40,0.00,0.70,0.50,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#129,CDB_S1,A05,1,129,,,32961933,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#130,CDB_S1,A05,1,130,,,32961934,springbok,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#131,CDB_S1,A05,1,131,,,32961935,harescrub,1,1,1,0.00,0.00,0.83,0.17,0.00,0.00,,,,0.60,0.97
CDB_S1#A05#1#132,CDB_S1,A05,1,132,,,32961936,harescrub,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.70,0.73
CDB_S1#A05#1#133,CDB_S1,A05,1,133,,,32961937,springbok,3,3,2,0.20,0.00,0.70,0.90,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#134,CDB_S1,A05,1,134,,,32961938,ostrich,1,1,1,0.12,0.00,0.25,0.75,0.00,0.00,,,,0.80,0.72
CDB_S1#A05#1#135,CDB_S1,A05,1,135,,,32961939,ostrich,1,1,1,0.10,0.00,0.70,0.90,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#136,CDB_S1,A05,1,136,,,32961940,harescrub,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.70,0.73
CDB_S1#A05#1#137,CDB_S1,A05,1,137,,,32961941,ostrich,1,1,1,0.00,0.00,0.80,0.20,0.00,0.00,,,,0.71,0.72
CDB_S1#A05#1#138,CDB_S1,A05,1,138,,,32961942,blank,,,,,,,,,,,,,0.73,0.00
CDB_S1#A05#1#139,CDB_S1,A05,1,139,,,32961943,springbok,1,1,1,0.00,0.00,0.57,0.57,0.00,0.00,,,,0.78,0.62
CDB_S1#A05#1#140,CDB_S1,A05,1,140,,,32961944,springbok,4,3,3,0.30,0.00,0.80,0.80,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#141,CDB_S1,A05,1,141,,,32961945,harescrub,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.55
CDB_S1#A05#1#142,CDB_S1,A05,1,142,,,32961946,springbok,2,2,2,0.10,0.00,0.50,0.90,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#143,CDB_S1,A05,1,143,,,32961947,birdother,2,2,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.78,0.99
CDB_S1#A05#1#143,CDB_S1,A05,1,143,,,32961947,ostrich,1,1,1,0.22,0.00,0.78,0.00,0.00,0.00,,,,1.00,0.99
CDB_S1#A05#1#144,CDB_S1,A05,1,144,,,32961948,eland,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#145,CDB_S1,A05,1,145,,,32961949,monkeyvervet,2,2,1,0.10,0.20,0.90,0.30,0.20,0.00,,,,1.00,0.00
CDB_S1#A05#1#146,CDB_S1,A05,1,146,,,32961950,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#147,CDB_S1,A05,1,147,,,32961951,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#148,CDB_S1,A05,1,148,,,32961952,monkeyvervet,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#149,CDB_S1,A05,1,149,,,32961953,ostrich,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#150,CDB_S1,A05,1,150,,,32961954,kudu,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#151,CDB_S1,A05,1,151,,,32961955,springbok,1,1,1,0.10,0.00,0.00,1.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#152,CDB_S1,A05,1,152,,,32961956,hartebeestred,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#153,CDB_S1,A05,1,153,,,32961957,ostrich,1,1,1,0.20,0.00,0.80,0.00,0.00,0.00,,,,0.42,0.88
CDB_S1#A05#1#154,CDB_S1,A05,1,154,,,32961958,monkeyvervet,2,2,1,0.30,0.40,0.90,0.50,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#155,CDB_S1,A05,1,155,,,32961959,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#156,CDB_S1,A05,1,156,,,32961960,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#157,CDB_S1,A05,1,157,,,32961961,monkeyvervet,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,1.00
CDB_S1#A05#1#157,CDB_S1,A05,1,157,,,32961961,ostrich,1,1,1,0.20,0.00,0.80,0.00,0.00,0.00,,,,1.00,1.00
CDB_S1#A05#1#158,CDB_S1,A05,1,158,,,32961962,ostrich,1,1,1,0.33,0.00,0.22,0.56,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#159,CDB_S1,A05,1,159,,,32961963,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#160,CDB_S1,A05,1,160,,,32961964,harescrub,1,1,1,0.17,0.00,0.83,0.00,0.00,0.00,,,,0.60,0.86
CDB_S1#A05#1#161,CDB_S1,A05,1,161,,,32961965,wildebeestblack,1,1,1,0.25,0.00,0.00,1.00,0.00,0.00,,,,0.80,0.58
CDB_S1#A05#1#162,CDB_S1,A05,1,162,,,32961966,wildebeestblack,1,1,1,0.50,0.00,0.50,0.17,0.00,0.00,,,,0.60,0.82
CDB_S1#A05#1#163,CDB_S1,A05,1,163,,,32961967,blesbok,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#164,CDB_S1,A05,1,164,,,32961968,reedbuckmountain,1,1,1,0.75,0.00,0.00,0.25,0.00,0.00,,,,0.31,0.93
CDB_S1#A05#1#165,CDB_S1,A05,1,165,,,32961969,springbok,2,1,1,0.00,0.00,0.67,0.78,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#166,CDB_S1,A05,1,166,,,32961970,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#167,CDB_S1,A05,1,167,,,32961971,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#168,CDB_S1,A05,1,168,,,32961972,springbok,2,2,1,0.60,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#169,CDB_S1,A05,1,169,,,32961973,springbok,5,5,3,0.09,0.00,1.00,0.45,0.00,0.09,,,,1.00,0.00
CDB_S1#A05#1#170,CDB_S1,A05,1,170,,,32961974,ostrich,1,1,1,0.10,0.00,0.10,1.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#171,CDB_S1,A05,1,171,,,32961975,ostrich,1,1,1,0.20,0.00,0.20,1.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#172,CDB_S1,A05,1,172,,,32961976,blank,,,,,,,,,,,,,0.70,0.00
CDB_S1#A05#1#173,CDB_S1,A05,1,173,,,32961977,harescrub,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.56,0.91
CDB_S1#A05#1#174,CDB_S1,A05,1,174,,,32961978,springbok,5,4,4,0.29,0.00,0.57,0.86,0.00,0.14,,,,0.78,0.62
CDB_S1#A05#1#175,CDB_S1,A05,1,175,,,32961979,springbok,3,2,2,0.22,0.00,0.78,1.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#176,CDB_S1,A05,1,176,,,32961980,springbok,4,3,1,0.00,0.00,0.78,0.44,0.00,0.11,,,,0.90,0.47
